loan_id,reporting_date,date_of_birth,age_years,age_band,duration,total_income,avg_monthly_income,avg_monthly_income_band,payment_due_date,days_past_due,risk_category,date,customer_age,total_paid,total_due_today,balance,closing_balance,advance,balance_due_to_date,arrears,balance_due_status,payment,expected_payment,first_payment,first_expected_payment,account_status_l1,account_status_l2,return_date,sale_date,credit_check_done,payment_amount,adjustment_amount,prepayment_amount,deposit,weekly_rate,credit_expiry,next_invoice_date,discount,overpayment_amount,max_payment_date,initial_pay,total_paid_with_adjustments_15d,snapshot_date_from_credit_file,source_file,unnamed_28,credit_snapshot_date,createdat_utc,received,persons_received_from_total,banks_received,paybills_received_others,income_record_count
recz9RNs0Zs63Vdwz,2025-01-01,,,,,,,,2024-10-16,77,Critical,1/1/2025,98,25999,45999.0,84380.0,84380.0,0.0,-20000.0,20000.0,Arrears,0,1740.0,0,0,First Month Default without inventory over 30,FMD,,9/25/2024,Y LOAN,,,0,19899.0,1740.0,10/16/2024,1/8/2025,0.0,0.0,4/10/2025,21639,25999,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recO5Xpk34zpWVaJU,2025-01-01,,,,,,,,2024-01-20,347,Critical,1/1/2025,543,37239,63159.0,25920.0,25920.0,0.0,-25920.0,25920.0,Arrears,0,0.0,0,0,Cancelled Returned past 3 mths,Return,6/3/2024,7/8/2023,Y LOAN,,,0,6999.0,1080.0,1/20/2024,1/4/2025,0.0,0.0,1/17/2024,8079,37239,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recaqQzL72h8QHV7M,2025-01-01,,,,,,,,,0,Low,1/1/2025,555,63159,63159.0,0.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Loan,Paid Off,,6/26/2023,Y LOAN,,,0,6999.0,1080.0,6/24/2024,1/6/2025,0.0,0.0,11/11/2024,8079,63159,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recvosrI5zhjRf0ch,2025-01-01,,,,,,,,,0,Low,1/1/2025,240,41819,38199.0,12020.0,0.0,3620.0,3620.0,0.0,advance,0,0.0,0,0,Existing Active,Active,,5/6/2024,Y LOAN,,,0,5999.0,920.0,1/27/2025,1/6/2025,0.0,0.0,3/6/2025,6919,41819,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
rec1DINAzLl7ixoS3,2025-01-01,1997-07-28 21:00:00+00:00,27.4,26-35,6.0,277636.03,46272.67166666667,"30,000-49,999",,0,Low,1/1/2025,31,9699,9699.0,40420.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,,12/1/2024,Y LOAN,,,0,5399.0,860.0,1/5/2025,1/5/2025,0.0,0.0,11/3/2025,6259,9699,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,2024-12-01 04:01:52.358000+00:00,129160.03,71196.0,77270.0,10.0,1.0
recZWT8ma3hOZdZ59,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,248,34419,35019.0,13720.0,0.0,0.0,-600.0,600.0,Arrears,0,0.0,0,0,Existing Active,Active,,4/28/2024,Y LOAN,,,0,5499.0,820.0,12/29/2024,1/5/2025,0.0,0.0,7/9/2025,6319,34419,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recC8zsVc8DB8lWAE,2025-01-01,,,,,,,,,0,Low,1/1/2025,433,39339,39339.0,0.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Loan,Paid Off,,10/26/2023,Y LOAN,,,0,4499.0,670.0,10/24/2024,1/2/2025,0.0,0.0,5/29/2024,5169,39339,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recaS4C4prf6PdD4F,2025-01-01,,,,,,,,2025-01-01,0,High,1/1/2025,341,27619,43219.0,17940.0,0.0,0.0,-15600.0,15600.0,Arrears,0,0.0,0,0,Existing Active,Active,,1/26/2024,Y LOAN,,,0,4999.0,780.0,8/16/2024,1/3/2025,0.0,0.0,8/9/2025,5779,27619,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recdCwcErAj0fY5ji,2025-01-01,,,,,,,,2024-09-11,112,Critical,1/1/2025,119,24729,66039.0,123930.0,123930.0,0.0,-41310.0,41310.0,Arrears,0,2430.0,0,0,First Payment Default,FPD,,9/4/2024,Y LOAN,,,0,22299.0,2430.0,9/11/2024,1/8/2025,0.0,0.0,9/4/2024,24729,24729,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recDD80wBQDJ4sOeZ,2025-01-01,,,,,,,,,0,Low,1/1/2025,244,64019,52599.0,10000.0,0.0,11420.0,11420.0,0.0,advance,0,0.0,0,0,Existing Active,Active,,5/2/2024,Y LOAN,,,0,8499.0,1260.0,3/6/2025,1/2/2025,0.0,0.0,4/27/2025,9759,64019,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
